cell_id,ANXA4,C8orf4,CALB1,CAV1,COL17A1,DCDC2,DMBT1,ECM1,EMP1,EPCAM,FABP5,FAM3B,GATA6,GJB6,ID1,IGFBP6,INHBA,KCNJ16,KIRREL,KRT14,KRT15,KRT16,KRT17,KRT19,KRT5,KRT6A,LAMC2,LDHB,LEFTY1,LGALS1,LY6D,MT1X,MT2A,NDFIP2,NR0B2,NR5A2,PDLIM3,PDLIM7,PIGR,PTHLH,RHCG,S100A2,S100A4,S100A7,SFRP5,SLC3A1,SLC4A4,SLPI,SPINK1,SPRR1B,SYT8,TFPI2,VCAM1,t,dataset,sample_type
CELL_0882,2.2349021,1.9324671,0.0,1.2119744,1.7251726,0.0,0.0,0.0,2.0563247,2.142504,0.0,0.0,0.0,0.0,1.5446916,1.5446916,0.0,0.0,0.0,0.0,0.0,1.2119744,2.4903634,2.5212836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2119744,0.0,0.0,0.0,0.0,2.0563247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1027691,2.2594855,0.0,1.2119744,0.0,0.0,0.46700954,GSE155698,tumor
CELL_0883,2.2690344,1.2814703,0.0,0.0,1.2814703,0.0,0.0,1.9116312,1.2814703,2.1658478,1.2814703,0.0,0.0,0.0,1.7934384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5913434,0.0,0.0,1.2814703,0.0,0.0,0.0,0.0,0.0,0.0,1.2814703,0.0,0.0,0.0,1.6144454,0.0,0.0,0.0,0.0,1.9981214,0.0,0.0,1.2814703,0.0,1.7934384,2.4556918,0.0,2.1201298,0.0,0.0,0.38917392,GSE155698,tumor
CELL_0884,1.2099141,0.0,0.0,1.5098563,2.048334,0.0,0.0,0.0,1.3887194,1.6369605,1.2099141,0.0,0.0,0.0,1.8177459,1.7530817,0.0,0.0,1.3887194,0.0,0.60549366,2.0917509,0.89646256,2.316949,0.0,1.8539131,1.8364146,0.60549366,0.0,2.2592556,0.0,0.60549366,1.5098563,1.2099141,0.0,0.0,0.0,1.3887194,0.0,0.60549366,0.0,0.60549366,0.60549366,0.0,0.0,0.0,0.0,1.5577687,0.0,0.0,1.7530817,0.0,0.0,0.7160117,GSE155698,tumor
CELL_0885,1.2690116,0.0,0.0,1.4017084,1.9987676,0.0,0.0,0.0,0.7593505,1.2690116,0.0,0.0,0.0,0.0,1.9119701,2.033646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3414636,0.0,0.0,1.9363128,0.0,0.0,2.3182323,0.0,0.7593505,1.0777655,1.0777655,0.0,0.0,0.0,1.4017084,0.0,0.0,0.7593505,1.4017084,0.7593505,0.0,0.0,0.0,0.0,1.9119701,0.0,0.0,0.7593505,0.0,0.0,0.67983025,GSE155698,tumor
CELL_0886,1.3617496,0.0,0.0,1.2221901,0.0,0.0,0.0,0.0,0.7034375,1.9587668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164946,0.0,0.0,0.7034375,0.0,0.0,0.7034375,0.0,0.0,1.3617496,1.2221901,0.0,0.0,0.0,1.0239949,0.7034375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6211271,2.1417105,0.0,0.0,0.0,0.0,0.4728922,GSE155698,tumor
CELL_0887,2.0553486,1.2445892,1.5230322,1.4424863,1.7896323,0.0,0.0,1.394961,0.44297984,1.8822906,0.79974395,1.4848752,0.7031139,0.0,0.25685388,1.6451588,0.0,0.0,0.0,0.0,0.25685388,0.0,0.7031139,2.5344207,0.0,0.0,0.9531246,0.44297984,0.0,1.5407467,0.0,0.0,0.25685388,0.9531246,0.0,0.58693576,0.0,0.44297984,0.44297984,0.0,0.0,0.44297984,1.394961,0.0,0.0,0.0,0.0,2.3166509,2.2056463,0.0,0.44297984,0.0,0.0,0.43762648,GSE155698,tumor
CELL_0888,1.457924,0.0,0.0,1.5551898,2.0534737,0.0,0.0,1.3278319,0.8171101,1.6946832,0.0,0.8171101,0.0,0.0,1.6946832,2.0175126,0.0,0.0,0.8171101,0.0,0.0,0.0,0.0,2.3346803,0.0,0.0,2.18185,1.3278319,0.0,2.5064628,0.0,0.8171101,1.9758923,0.0,0.0,0.0,0.0,1.457924,0.0,1.457924,0.0,1.457924,0.8171101,0.0,0.0,0.0,0.0,1.457924,0.0,0.0,0.0,0.0,0.0,0.6405703,GSE155698,tumor
CELL_0889,1.5472538,0.0,0.0,1.0126787,0.0,0.0,0.0,1.0126787,1.0126787,1.8492504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0126787,0.0,0.0,1.3541225,0.0,0.0,1.0126787,0.0,0.0,0.0,0.0,0.0,1.7738072,1.0126787,0.0,0.0,0.0,1.3541225,1.0126787,0.0,0.0,1.0126787,1.0126787,0.0,0.0,0.0,0.0,2.0447178,2.1089225,0.0,0.0,0.0,0.0,0.42040142,GSE155698,tumor
CELL_0890,1.5438477,0.0,0.0,0.0,0.75633806,0.0,0.0,0.0,0.0,1.9611377,0.0,0.0,1.0895941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75633806,2.3411248,0.0,0.0,1.0895941,0.0,0.0,1.0895941,0.0,1.4360427,2.2990577,1.2933723,0.0,0.0,0.0,1.4360427,1.0895941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6294278,2.0165632,0.0,1.5438477,0.0,0.0,0.44552758,GSE155698,tumor
CELL_0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9840146,0.0,0.0,2.4672463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9840146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49606094,GSE155698,tumor
