dataset,sample_type,dpt,umap1,umap2
GSE155698,tumor,0.39949894,-4.6583457,2.9078043
GSE155698,tumor,0.45853436,-4.7481155,1.6315305
GSE155698,tumor,0.42565843,-4.3778906,3.2601073
GSE155698,tumor,0.41875353,-3.5841656,6.7798953
GSE155698,tumor,0.39602223,-0.7724605,5.048028
GSE155698,tumor,0.4641644,-4.8622484,1.7534771
GSE155698,tumor,0.39591172,0.6814078,6.0134525
GSE155698,tumor,0.75930446,1.541644,-0.6466638
GSE155698,tumor,0.50554127,1.5820241,1.8515004
GSE155698,tumor,0.43067706,-3.7157037,5.952834
GSE155698,tumor,0.3759617,-1.7780958,3.8523738
GSE155698,tumor,0.67639774,1.776899,-0.05723991
GSE155698,tumor,0.4334101,-4.390564,2.8029504
GSE155698,tumor,0.40398213,-4.278085,4.698398
GSE155698,tumor,0.78466326,1.8636786,-1.1562703
GSE155698,tumor,0.4590481,-0.3058003,5.2996516
GSE155698,tumor,0.37072763,0.00432936,4.69182
GSE155698,tumor,0.43632406,-3.8152697,6.002725
GSE155698,tumor,0.39091995,-0.75414515,6.018152
GSE155698,tumor,0.74886525,1.157065,11.348575
GSE155698,tumor,0.81454706,1.2434278,11.41178
GSE155698,tumor,0.5231965,0.281114,0.60121036
GSE155698,tumor,0.46606752,-3.2660177,7.891609
GSE155698,tumor,0.40264475,-0.015501033,2.5694916
GSE155698,tumor,0.3853226,-3.6490045,3.4905198
GSE155698,tumor,0.38800475,-6.453403,4.522299
GSE155698,tumor,0.37788224,-1.9606314,5.5829563
GSE155698,tumor,0.4021733,0.51587486,5.719734
GSE155698,tumor,0.6873181,1.3517314,-0.41374493
GSE155698,tumor,0.45842686,1.4490687,2.25359
GSE155698,tumor,0.43873054,-3.8255794,7.2063713
GSE155698,tumor,0.44088846,-1.9434731,4.3391075
GSE155698,tumor,0.49457717,-4.644434,7.495178
GSE155698,tumor,0.3809462,-2.2450442,5.8252177
GSE155698,tumor,0.49594885,-2.702861,8.198915
GSE155698,tumor,0.40294918,-3.5921054,4.256672
GSE155698,tumor,0.46306342,-4.5050087,7.1212983
GSE155698,tumor,0.42037076,-3.0858004,2.48277
GSE155698,tumor,0.49319825,-4.7558107,7.6966295
GSE155698,tumor,0.39871255,0.20122366,6.1111836
GSE155698,tumor,0.41500473,-3.877451,4.9812083
GSE155698,adjacent_normal,0.36423796,-1.2260052,1.7037671
GSE155698,tumor,0.48440826,-4.7101026,7.6694703
GSE155698,adjacent_normal,0.40689284,-3.8580732,3.970722
GSE155698,tumor,0.46926948,-3.0027025,8.40788
GSE155698,tumor,0.8754701,0.925327,12.448078
GSE155698,tumor,0.41739807,-3.8658047,5.692934
GSE155698,tumor,0.39238885,-7.0295877,4.6471972
GSE155698,tumor,0.53064734,3.8718183,4.6629233
GSE155698,tumor,0.39855343,-7.3824525,3.8502994
GSE155698,tumor,0.44473904,-3.359284,2.0251732
GSE155698,tumor,0.5256919,4.277558,4.4074216
GSE155698,tumor,0.397343,0.82257414,4.11645
GSE155698,tumor,0.3928428,-6.6187344,4.677293
GSE155698,tumor,0.44155535,-4.0981107,5.7283587
GSE155698,tumor,0.39720985,-2.876986,5.9996395
GSE155698,tumor,0.78984576,1.3007495,12.1294985
GSE155698,tumor,0.45049247,-3.1395152,6.6873856
GSE155698,tumor,0.4724691,-4.089928,1.398068
GSE155698,tumor,0.534427,3.6874397,4.0068207
GSE155698,tumor,0.73584646,1.5114535,0.01355251
GSE155698,adjacent_normal,0.24730527,5.9168334,-1.4717873
GSE155698,tumor,0.41593674,-3.7927635,3.3061786
GSE155698,tumor,0.38618094,-6.723388,4.025641
GSE155698,tumor,0.43017256,-2.4891794,7.013571
GSE155698,tumor,0.4006191,0.8851391,4.0543466
GSE155698,tumor,0.5202453,4.22129,4.8690457
GSE155698,tumor,0.3962203,-2.6616583,2.8450055
GSE155698,tumor,0.42179215,-2.5141459,6.6580925
GSE155698,tumor,0.35807958,-1.4564025,1.3826925
GSE155698,adjacent_normal,0.40588441,-3.8251786,4.567703
GSE155698,tumor,0.39654046,-4.7955055,4.1291823
GSE155698,tumor,0.5440162,3.8342574,4.2263966
GSE155698,tumor,0.43713608,-4.907351,2.4110274
GSE155698,tumor,0.48310655,-4.1597543,0.986803
GSE155698,tumor,0.80961,1.4136846,12.178115
GSE155698,tumor,0.38529867,-2.1126575,4.894628
GSE155698,tumor,0.40494937,-4.837052,3.7310154
GSE155698,tumor,0.40458772,1.3448149,4.5211697
GSE155698,tumor,0.4828251,-2.9040527,8.468589
GSE155698,tumor,0.36521956,-1.475876,1.0548543
GSE155698,tumor,0.37320954,-1.288072,4.4633765
GSE155698,tumor,0.5073291,3.7303376,4.9236026
GSE155698,tumor,0.536435,0.17164731,0.6343114
GSE155698,adjacent_normal,0.41497052,-3.9944086,4.1596684
GSE155698,tumor,0.46351066,0.8884618,1.995371
GSE155698,tumor,0.37868044,-1.3498802,3.7160413
GSE155698,tumor,0.415793,-3.4268234,5.4509444
GSE155698,tumor,0.39527807,-0.25026995,5.858477
GSE155698,tumor,0.38569754,-2.100303,5.0934467
GSE155698,tumor,0.37666857,-2.2484162,3.8319206
GSE155698,tumor,0.39208892,-7.303426,4.0568724
GSE155698,tumor,0.40714338,1.2593634,4.477502
GSE155698,tumor,0.38373673,0.8203835,2.2723987
GSE155698,tumor,0.43906885,-3.3906014,3.2315006
GSE155698,tumor,0.4384439,1.3686173,2.2107525
GSE155698,tumor,0.7092434,1.453092,0.014677976
GSE155698,tumor,0.37389478,-2.6086822,4.348199
GSE155698,tumor,0.6863557,1.6349204,0.03323191
GSE155698,adjacent_normal,0.36090657,-1.0119646,2.0774276
GSE155698,tumor,0.38440147,-7.3531384,3.7735913
GSE155698,tumor,0.4195888,-3.6050208,6.072924
GSE155698,tumor,0.76583564,1.7306445,-0.98055035
GSE155698,tumor,0.87537795,1.5468293,12.119331
GSE155698,tumor,0.82038677,1.9443957,-1.1961261
GSE155698,tumor,0.40226048,-6.9954166,3.5190685
GSE155698,tumor,0.45374578,-3.0537605,7.987209
GSE155698,tumor,0.38498887,-0.7740495,5.364
GSE155698,adjacent_normal,0.11702587,4.774265,-0.71657
GSE155698,tumor,0.3906107,-6.5107665,4.7540073
GSE155698,tumor,0.42711002,-3.64953,6.348798
GSE155698,tumor,0.52650565,1.8717602,1.8239809
GSE155698,adjacent_normal,0.3456169,-1.5490959,3.3127146
GSE155698,tumor,0.8191089,1.035803,11.145565
GSE155698,tumor,0.3930381,-1.0755912,5.579274
GSE155698,tumor,0.7001921,1.2203679,-0.04820128
GSE155698,tumor,0.40514517,-3.2047133,3.9246402
GSE155698,tumor,0.38669184,-0.23387007,6.126048
GSE155698,tumor,0.43536377,-3.1584985,2.0761304
GSE155698,tumor,0.5257053,4.232057,4.7206554
GSE155698,tumor,0.37032422,-0.27039045,4.3608227
GSE155698,tumor,0.47457278,-4.2948394,0.922547
GSE155698,tumor,0.42027745,-3.4675717,6.714274
GSE155698,tumor,0.38783684,-6.239846,4.606487
GSE155698,tumor,0.42805877,-3.25202,6.413455
GSE155698,tumor,0.3480463,-7.1881633,4.206893
GSE155698,tumor,0.36889732,-1.2776093,4.4243402
GSE155698,tumor,0.3899548,-2.4662745,4.5788937
GSE155698,tumor,0.4691423,-4.0050697,7.8795066
GSE155698,adjacent_normal,0.36149767,-0.99696004,1.9359148
GSE155698,tumor,0.50356406,3.9735572,4.8849344
GSE155698,tumor,0.36934802,-2.4681296,4.657958
GSE155698,tumor,0.3894435,-7.522485,3.9512136
GSE155698,tumor,0.43564224,-3.020188,6.9900985
GSE155698,tumor,0.42573035,-4.370217,2.614501
GSE155698,tumor,0.40306097,-3.190467,5.6670995
GSE155698,tumor,0.42873266,-3.3337743,6.9550223
GSE155698,tumor,0.43855503,-2.7714143,7.282405
GSE155698,tumor,0.503551,-4.7478094,1.4466352
GSE155698,tumor,0.73393816,0.31626624,12.006931
GSE155698,tumor,0.51846,3.5133696,4.307616
GSE155698,tumor,0.479323,2.9960501,4.4632077
GSE155698,tumor,0.521344,0.23619597,0.73518515
GSE155698,tumor,0.38454607,0.1713402,5.2925453
GSE155698,tumor,0.4642668,-3.636592,8.108068
GSE155698,tumor,0.4038501,0.71582353,4.2470694
GSE155698,tumor,0.82192445,1.1470733,11.857433
GSE155698,tumor,0.45042527,-3.3425093,1.6797384
GSE155698,tumor,0.38977644,-0.90684295,5.288625
GSE155698,adjacent_normal,0.33297023,-0.9503695,1.5055348
GSE155698,tumor,0.49056295,-4.89249,7.2262154
GSE155698,tumor,0.37785074,-5.4458585,4.1275997
GSE155698,tumor,0.45289207,-4.104654,7.166312
GSE155698,tumor,0.38877383,0.70302236,4.044227
GSE155698,tumor,0.46010187,-3.7432675,1.7469965
GSE155698,tumor,0.46515492,-2.8964999,8.445773
GSE155698,tumor,0.7902018,1.0603108,11.58796
GSE155698,tumor,0.510576,3.6705515,4.8636217
GSE155698,tumor,0.43586802,-3.820995,5.5216255
GSE155698,tumor,0.7766334,0.6837132,12.261672
GSE155698,tumor,0.40726113,-2.7014935,6.356723
GSE155698,tumor,0.44884932,-4.033176,1.8668791
GSE155698,tumor,0.70254725,1.556247,-0.4387117
GSE155698,tumor,0.76811826,1.7240305,-1.0063417
GSE155698,tumor,0.12471263,5.178519,-0.45231012
GSE155698,tumor,0.3775065,-0.99350387,4.266014
GSE155698,tumor,0.3771214,-2.0217507,3.6836607
GSE155698,tumor,0.5466688,0.49967876,0.45701215
GSE155698,tumor,0.46040225,1.4094564,2.2905195
GSE155698,tumor,0.43256474,-4.3223095,7.010076
GSE155698,tumor,0.39020702,-0.33244285,5.277835
GSE155698,tumor,0.75061274,1.102099,11.6580925
GSE155698,tumor,0.48612908,-4.9657598,7.435336
GSE155698,tumor,0.39446858,-0.07048787,4.2938466
GSE155698,tumor,0.39323315,-0.88071007,5.1551795
GSE155698,tumor,0.392807,-4.925191,3.0905726
GSE155698,tumor,0.40097585,0.98213106,4.348921
GSE155698,adjacent_normal,0.41289467,-4.2089243,4.458578
GSE155698,tumor,0.47330803,-3.6945605,1.3660859
GSE155698,tumor,0.40426117,-3.7414908,4.3597565
GSE155698,tumor,0.3812029,-1.1977117,4.089439
GSE155698,tumor,0.502049,0.10262854,0.83081883
GSE155698,tumor,0.42577484,-4.1354804,3.0376697
GSE155698,tumor,0.44152987,-2.5505962,7.368041
GSE155698,tumor,0.49514174,-4.8246026,7.825407
GSE155698,tumor,0.6994234,0.93294543,12.151048
GSE155698,tumor,0.48034522,-4.5146427,0.6345963
GSE155698,tumor,0.1368709,4.353334,-0.71586657
GSE155698,tumor,0.43566582,-3.3512514,3.0643904
GSE155698,tumor,0.6766304,1.1205459,0.00020730693
GSE155698,tumor,0.39442676,-7.5446973,3.8047352
GSE155698,tumor,0.6704197,1.6564823,0.015999248
GSE155698,tumor,0.38325223,-0.068997845,5.0672193
GSE155698,tumor,0.48713824,-5.1510725,7.358273
GSE155698,tumor,0.3870478,0.8155696,4.0057464
GSE155698,tumor,0.51968646,4.4965467,4.6810265
GSE155698,tumor,0.7089829,1.6631038,0.16017692
GSE155698,tumor,0.69959205,1.4019679,0.15337333
GSE155698,tumor,0.41739964,1.4291857,4.5910406
GSE155698,tumor,0.44683686,8.53185,-0.5982445
GSE155698,tumor,0.4662004,-3.7342083,1.1704966
GSE155698,tumor,0.38889182,-5.1288314,3.5452075
GSE155698,tumor,0.38329652,0.3908853,5.4966846
GSE155698,tumor,0.5460832,3.9238434,4.8365355
GSE155698,tumor,0.44420147,-4.344013,6.510449
GSE155698,tumor,0.51347977,3.303745,4.831459
GSE155698,tumor,0.43027565,-3.9204657,5.763157
GSE155698,tumor,0.43223307,-3.30464,7.1079674
GSE155698,tumor,0.41782516,-3.5633097,6.189059
GSE155698,tumor,0.39760816,-0.014827017,5.8274307
GSE155698,tumor,0.4459778,-2.974973,1.9453856
GSE155698,tumor,0.47593457,-3.3429012,8.354394
GSE155698,tumor,0.4246485,-2.5995467,6.948594
GSE155698,tumor,0.4402516,-4.46668,6.2880683
GSE155698,tumor,0.40056017,-4.6926184,4.6154995
GSE155698,tumor,0.3913875,-6.8054805,3.3998055
GSE155698,tumor,0.46986222,-4.6545124,7.332386
GSE155698,tumor,0.4657827,-3.010847,6.6150694
GSE155698,tumor,0.38035607,7.9133835,-0.6671177
GSE155698,tumor,0.2569499,0.054990385,3.2933354
GSE155698,tumor,0.52359015,0.1993571,0.5796023
GSE155698,tumor,0.37914956,-6.1979938,4.065284
GSE155698,tumor,0.3661867,-1.7964623,3.0328531
GSE155698,adjacent_normal,0.5074756,6.5133457,-2.7669787
GSE155698,tumor,0.47301885,-4.0418425,1.0006479
GSE155698,tumor,0.4333702,-4.6873093,2.0595737
GSE155698,tumor,0.7847231,1.5262927,11.768317
GSE155698,tumor,0.42692465,-4.6399255,2.5679822
GSE155698,tumor,0.8274536,0.34832993,12.179849
GSE155698,tumor,0.4040879,-3.9539576,4.4203577
GSE155698,tumor,0.43792757,-2.9266295,7.6668234
GSE155698,tumor,0.44421494,-3.6464615,1.6769606
GSE155698,tumor,0.4275408,-3.4687283,6.076177
GSE155698,tumor,0.46700954,-4.689913,0.6827209
GSE155698,tumor,0.38917392,-1.2573724,5.9168506
GSE155698,tumor,0.7160117,1.3236183,-0.111252174
GSE155698,tumor,0.67983025,1.494923,-0.2870302
GSE155698,tumor,0.4728922,-4.091829,7.866072
GSE155698,tumor,0.43762648,-4.8187284,1.8931816
GSE155698,tumor,0.6405703,1.5736854,0.7393211
GSE155698,tumor,0.42040142,-3.9679298,6.176134
GSE155698,tumor,0.44552758,-3.136051,7.1943593
GSE155698,tumor,0.49606094,1.2409626,1.5974214
GSE155698,tumor,0.45226878,-3.6071835,2.0061755
GSE155698,tumor,0.3948802,-2.6797128,3.2964966
GSE155698,tumor,0.38544998,0.29494867,4.281236
GSE155698,adjacent_normal,0.10352527,4.740092,-1.0165818
GSE155698,tumor,0.4691631,-3.6054132,8.377226
GSE155698,tumor,0.50301594,-5.0628304,7.780553
GSE155698,tumor,0.45118356,-2.860901,7.267976
GSE155698,tumor,0.48891464,-4.957725,7.417019
GSE155698,tumor,0.3823615,-0.49457133,5.0373135
GSE155698,tumor,0.5360779,3.907728,4.52374
GSE155698,tumor,0.38672113,-5.2815385,3.8526163
GSE155698,tumor,0.43878654,-3.478479,6.130565
GSE155698,tumor,0.7864704,1.7083505,-0.83058494
GSE155698,tumor,0.40779492,-4.613616,4.2503395
GSE155698,adjacent_normal,0.39389032,-2.3936524,3.6240666
GSE155698,tumor,0.15678276,5.9493055,-0.4069464
GSE155698,tumor,0.46818408,-4.557552,1.1905016
GSE155698,tumor,0.39270917,-7.268178,3.9377425
GSE155698,tumor,0.39442554,0.15029815,5.9200425
GSE155698,tumor,0.39303073,-7.4513245,4.261086
GSE155698,tumor,0.5051539,6.008261,-2.6717079
GSE155698,tumor,0.4173406,-3.4121177,5.825102
GSE155698,tumor,0.49570894,-5.180799,7.117591
GSE155698,tumor,0.4222361,-4.011082,3.3788993
GSE155698,tumor,0.43939462,-3.840521,6.5939946
GSE155698,tumor,0.3949437,-5.6383934,4.5913982
GSE155698,tumor,0.3894732,-6.278533,4.958753
GSE155698,tumor,0.8699112,0.6287952,12.196049
GSE155698,tumor,0.38049874,-2.5136733,4.9080877
GSE155698,tumor,0.4284517,-3.3589664,6.5411496
GSE155698,tumor,0.78732455,0.8474083,11.698725
GSE155698,tumor,0.38266125,-1.5258025,4.735235
GSE155698,adjacent_normal,0.39046767,-3.157155,3.325138
GSE155698,tumor,0.387951,-1.5183449,5.6969295
GSE155698,tumor,0.5333955,3.7091403,4.047042
GSE155698,tumor,0.46499342,-3.3200853,7.8933043
GSE155698,tumor,0.44307745,1.2473183,2.410909
GSE155698,tumor,0.38539794,0.7308548,6.0787697
GSE155698,tumor,0.4545552,-3.262793,1.6478444
GSE155698,tumor,0.41029087,-3.036655,6.156156
GSE155698,tumor,0.45441192,2.7741652,4.505556
GSE155698,tumor,0.40291172,-4.142025,4.354866
GSE155698,adjacent_normal,0.41231033,-4.1699247,4.2258325
GSE155698,tumor,0.36113748,-2.1034663,5.282765
GSE155698,tumor,0.5065345,-4.796225,1.3191792
GSE155698,tumor,0.3938704,0.34920496,5.471723
GSE155698,tumor,0.43430912,-3.296803,2.4247718
GSE155698,tumor,0.4751421,-4.7629805,1.288116
GSE155698,adjacent_normal,0.3964931,-3.3001084,3.6978517
GSE155698,tumor,0.39910203,-5.3090534,4.6883316
GSE155698,tumor,0.46460152,-2.5317056,7.6538506
GSE155698,tumor,0.43187356,-3.7448366,6.8419924
GSE155698,tumor,0.40010366,-7.418832,4.2853065
GSE155698,tumor,0.38332838,-2.3793595,2.3642983
GSE155698,tumor,0.39517304,-0.03734802,6.399485
GSE155698,tumor,0.507901,3.7692971,4.216178
GSE155698,tumor,0.4232154,-4.6011405,2.6057627
GSE155698,tumor,0.38773978,-6.2367487,4.3866434
GSE155698,tumor,0.33440802,-5.6521626,3.130473
GSE155698,tumor,0.488367,1.929804,2.3396344
GSE155698,adjacent_normal,0.40415806,-3.9824483,3.4835727
GSE155698,tumor,0.52596897,0.31277096,0.6608439
GSE155698,tumor,0.36968523,-2.3625705,4.2020783
GSE155698,tumor,0.37722048,-6.276687,3.6568875
GSE155698,tumor,0.7323247,1.0974791,-0.28300655
GSE155698,tumor,0.8307295,1.0104737,11.610153
GSE155698,tumor,0.41700912,-4.1620703,6.4619436
GSE155698,tumor,0.38890725,-0.6477699,5.914407
GSE155698,tumor,0.4333566,-3.761502,2.3008997
GSE155698,tumor,0.38672414,0.17919387,5.7328463
GSE155698,tumor,0.48679015,-4.3777122,0.8031875
GSE155698,tumor,0.49925932,-2.4872956,8.434016
GSE155698,tumor,0.40219092,-3.1958733,5.417426
GSE155698,tumor,0.6825456,1.8426368,-0.32100877
GSE155698,tumor,0.40329912,0.49402878,6.0676637
GSE155698,tumor,0.4348116,1.1284583,2.3894842
GSE155698,tumor,0.36569872,-2.0771368,1.355337
GSE155698,tumor,0.41872877,-3.398526,6.534354
GSE155698,tumor,0.47567567,-4.4995255,0.80635947
GSE155698,tumor,0.69193995,1.2584426,-0.5353331
GSE155698,tumor,0.37865818,-4.0935163,2.5964499
GSE155698,tumor,0.7144797,1.2996576,-0.402238
GSE155698,tumor,0.5268614,3.535883,4.7443986
GSE155698,tumor,0.37177914,-0.81568265,2.8416858
GSE155698,tumor,0.3899006,0.31293398,5.5345044
GSE155698,tumor,0.437797,-4.4970083,2.4535246
GSE155698,tumor,0.4632161,-3.5753455,7.7873034
GSE155698,tumor,0.4932075,-4.3021965,8.1614275
GSE155698,tumor,0.36612386,-1.496185,1.3106862
GSE155698,tumor,0.44096962,-4.569637,2.160593
GSE155698,tumor,0.8547185,1.509522,12.18578
GSE155698,tumor,0.4687229,1.5119253,1.9570841
GSE155698,tumor,0.48376372,-4.3979907,7.8287725
GSE155698,tumor,0.65758795,1.4750162,0.517723
GSE155698,tumor,0.47165048,-2.9700985,7.9638247
