KRT17_x,KRT17_v,EMP1_x,EMP1_v,SLC4A4_x,SLC4A4_v,FAM3B_x,FAM3B_v,KRT17_orbit_x,KRT17_orbit_v,EMP1_orbit_x,EMP1_orbit_v,SLC4A4_orbit_x,SLC4A4_orbit_v,FAM3B_orbit_x,FAM3B_orbit_v
3.076072,-1.2717114686965942,0.0,0.6429916024208069,0.0,0.002164641860872507,0.0,0.0007333449902944267,0.14087657630443573,0.15258359909057617,0.11163704097270966,0.2747049331665039,0.6180842518806458,-0.363839328289032,0.4542863368988037,-0.15632599592208862
3.0161572,-1.2239426374435425,0.0,0.7487964034080505,0.0,0.0027541108429431915,0.0,0.0011077941162511706,0.14138981699943542,0.15427148342132568,0.11256205290555954,0.2784592807292938,0.6168570518493652,-0.3700563907623291,0.4537573754787445,-0.16006940603256226
2.4233491,-1.0016449689865112,1.3483952,0.25404810905456543,0.0,0.0020800638012588024,0.0,0.0006972504197619855,0.14190860092639923,0.155950129032135,0.113499715924263,0.2822307348251343,0.6156086921691895,-0.3764537572860718,0.4532155692577362,-0.1639094054698944
2.738161,-1.1362594366073608,2.7508337,-0.1622418761253357,0.0,0.0019269485492259264,0.0,0.000617551791947335,0.14243288338184357,0.157619446516037,0.11445001512765884,0.2860179543495178,0.614338755607605,-0.3830322027206421,0.4526609480381012,-0.1678464412689209
2.6557724,-1.100442886352539,0.0,0.5985767841339111,0.0,0.0019375376868993044,0.0,0.0006414977833628654,0.14296279847621918,0.15927812457084656,0.1154128909111023,0.2898196280002594,0.613046407699585,-0.38979169726371765,0.45209282636642456,-0.1718807816505432
0.0,0.10143405199050903,0.0,0.38506633043289185,2.6992671,-3.028066635131836,1.5910316,-1.2325873374938965,0.14349821209907532,0.16092589497566223,0.11638853698968887,0.29363441467285156,0.6117311716079712,-0.39673271775245667,0.451511025428772,-0.17601250112056732
2.777491,-1.1476961374282837,2.0950282,0.0702318549156189,0.0,0.00219818577170372,0.0,0.0007381098694168031,0.1440393179655075,0.16256223618984222,0.1173769012093544,0.29746100306510925,0.6103924512863159,-0.40385526418685913,0.4509153366088867,-0.18024137616157532
2.512067,-1.036955714225769,1.8787796,0.12727665901184082,0.0,0.0021244355011731386,0.0,0.0007227431051433086,0.1445857137441635,0.1641865372657776,0.11837826669216156,0.3012988567352295,0.6090296506881714,-0.4111585021018982,0.45030534267425537,-0.1845674216747284
0.0,0.09329472482204437,0.0,0.37845802307128906,0.0,0.0012842511059716344,0.0,0.0018500846344977617,0.1451374739408493,0.16579842567443848,0.11939238756895065,0.30514588952064514,0.6076421141624451,-0.4186416566371918,0.4496806859970093,-0.1889895647764206
2.4513526,-0.9261140823364258,0.0,0.9113695025444031,0.0,0.0028758379630744457,0.0,0.0012011463986709714,0.14569470286369324,0.1673971563577652,0.12041933089494705,0.3090011477470398,0.6062291264533997,-0.4263038635253906,0.44904109835624695,-0.1935076266527176
