t,KRT17,EMP1,S100A2,KRT16,t_grid,KRT17_pinn,EMP1_pinn,S100A2_pinn,KRT16_pinn
0.4917347,3.076072,0.0,3.5946655,0.0,0.0,0.14087657630443573,0.11163704097270966,0.22499330341815948,0.04474620893597603
0.5041407,3.0161572,0.0,3.2917364,0.0,0.005025125628140704,0.14164987206459045,0.11303168535232544,0.2254462093114853,0.04519671946763992
0.4661269,2.4233491,1.3483952,2.626268,1.599929,0.010050251256281407,0.14243558049201965,0.11445468664169312,0.2259075790643692,0.04565830156207085
0.57307214,2.738161,2.7508337,2.784646,2.4093883,0.01507537688442211,0.14323389530181885,0.11590646207332611,0.22637738287448883,0.04613082855939865
0.5554066,2.6557724,0.0,2.5097203,2.2766378,0.020100502512562814,0.14404478669166565,0.11738696694374084,0.2268560826778412,0.04661451280117035
0.0947666,0.0,0.0,0.0,0.0,0.02512562814070352,0.1448679119348526,0.11889640986919403,0.22734442353248596,0.047109559178352356
0.47446355,2.777491,2.0950282,2.8068318,0.0,0.03015075376884422,0.14570315182209015,0.12043496966362,0.22784268856048584,0.047615956515073776
0.4465604,2.512067,1.8787796,2.5981252,0.0,0.035175879396984924,0.14655044674873352,0.1220024973154068,0.228351429104805,0.04813368618488312
0.13438144,0.0,0.0,0.0,0.0,0.04020100502512563,0.1474095731973648,0.12359949946403503,0.22887109220027924,0.04866306856274605
0.5221211,2.4513526,0.0,2.7627795,0.0,0.04522613065326633,0.14828051626682281,0.1252255141735077,0.22940215468406677,0.049204085022211075
0.4470537,2.2996733,1.5918143,2.5693102,1.2797745,0.05025125628140704,0.14916279911994934,0.12688089907169342,0.22994524240493774,0.0497567243874073
0.46176136,2.5386224,2.3114629,2.875857,0.84298617,0.05527638190954774,0.1500566303730011,0.12856553494930267,0.23050090670585632,0.050321295857429504
0.48153552,2.3125715,1.959333,2.2299562,2.0173988,0.06030150753768844,0.15096154808998108,0.13027936220169067,0.23106960952281952,0.05089767277240753
0.50751996,2.5960248,1.2150339,2.7407813,0.0,0.06532663316582915,0.15187743306159973,0.13202252984046936,0.23165197670459747,0.0514860600233078
0.4872406,2.4307115,0.0,1.6036385,2.1741974,0.07035175879396985,0.15280434489250183,0.1337948888540268,0.23224866390228271,0.05208643525838852
0.11801186,0.0,0.0,0.0,0.0,0.07537688442211056,0.1537417471408844,0.1355961710214615,0.23286038637161255,0.0526990070939064
0.5006295,2.6248734,0.0,2.9817235,0.0,0.08040201005025126,0.15468980371952057,0.13742652535438538,0.23348739743232727,0.053323857486248016
0.54291236,2.6474504,1.6196526,2.1014245,2.7110875,0.08542713567839195,0.15564818680286407,0.13928569853305817,0.23413053154945374,0.053960856050252914
0.40953943,0.0,0.0,0.0,0.0,0.09045226130653267,0.15661665797233582,0.1411738097667694,0.2347905933856964,0.05461031571030617
0.42583123,0.0,1.4431757,0.0,0.0,0.09547738693467336,0.1575952023267746,0.14309018850326538,0.23546773195266724,0.05527232959866524
0.49453518,2.511881,2.1495888,2.7186363,0.7436324,0.10050251256281408,0.15858367085456848,0.14503517746925354,0.23616287112236023,0.05594697594642639
0.408818,2.1375358,0.0,2.9116714,2.1375358,0.10552763819095477,0.15958203375339508,0.14700829982757568,0.2368767112493515,0.05663412809371948
0.49174666,1.9621345,1.5523108,2.1800225,1.6157149,0.11055276381909548,0.16058975458145142,0.14900948107242584,0.23760978877544403,0.05733419954776764
0.4733736,2.5892186,0.0,2.4420743,1.7307576,0.11557788944723618,0.1616073101758957,0.15103842318058014,0.23836243152618408,0.05804716795682907
0.4660053,2.2724814,1.5142384,2.7763283,1.0724028,0.12060301507537688,0.16263428330421448,0.15309488773345947,0.2391355186700821,0.05877300351858139
0.50169474,2.0948281,0.0,2.3413517,1.8036821,0.12562814070351758,0.16367080807685852,0.15517865121364594,0.23992958664894104,0.05951213091611862
0.4882435,2.5309796,1.6592441,2.6294873,1.4097172,0.1306532663316583,0.1647166907787323,0.15728947520256042,0.24074514210224152,0.06026429310441017
0.49335623,2.6562943,0.0,2.9046276,2.7755852,0.135678391959799,0.16577187180519104,0.15942713618278503,0.24158287048339844,0.06102990731596947
0.9253605,2.8667269,2.7756004,2.5223362,2.6412098,0.1407035175879397,0.16683654487133026,0.1615910828113556,0.24244292080402374,0.06180894374847412
0.4796401,2.2435098,1.4809347,1.7559323,2.0401537,0.1457286432160804,0.16791056096553802,0.16378122568130493,0.24332615733146667,0.06260170787572861
0.46672976,2.1941452,0.91218865,2.3938253,0.0,0.15075376884422112,0.16899418830871582,0.16599728167057037,0.24423260986804962,0.0634082779288292
0.46258664,1.857784,0.0,1.9145074,0.0,0.15577889447236182,0.1700873225927353,0.16823865473270416,0.24516305327415466,0.0642286166548729
0.42421305,2.758736,1.491412,0.0,0.0,0.16080402010050251,0.17119039595127106,0.1705053746700287,0.24611788988113403,0.06506314128637314
0.4576654,1.740932,1.8245019,2.3973086,1.1071652,0.1658291457286432,0.17230330407619476,0.17279686033725739,0.24709732830524445,0.0659119263291359
0.49559033,2.7520895,1.577036,2.833441,1.577036,0.1708542713567839,0.17342649400234222,0.17511261999607086,0.24810166656970978,0.06677515804767609
