epoch,data_loss,physics_loss,total_loss
1,0.8123869895935059,0.2703186273574829,1.0827056169509888
2,0.7929627895355225,0.2124996930360794,1.0054625272750854
3,0.7751080393791199,0.1632145494222641,0.9383226037025452
4,0.7584429383277893,0.1215827614068985,0.8800256848335266
5,0.742572546005249,0.0872841477394104,0.8298566937446594
6,0.7271349430084229,0.06031765788793564,0.7874525785446167
7,0.7118403911590576,0.040593087673187256,0.7524334788322449
8,0.6965184807777405,0.027502896264195442,0.7240213751792908
9,0.6811560392379761,0.019793957471847534,0.700950026512146
10,0.6659213900566101,0.015790412202477455,0.6817117929458618
11,0.6511492729187012,0.013857560232281685,0.6650068163871765
12,0.6372705698013306,0.012796920724213123,0.6500675082206726
13,0.624713122844696,0.011964472010731697,0.636677622795105
14,0.6138072609901428,0.011153537780046463,0.6249607801437378
15,0.604717493057251,0.010367674753069878,0.6150851845741272
16,0.5974208116531372,0.009616234339773655,0.6070370674133301
17,0.5917360782623291,0.008828689344227314,0.6005647778511047
18,0.5873833894729614,0.00790921226143837,0.5952926278114319
19,0.5840511322021484,0.006839112378656864,0.5908902287483215
20,0.5814510583877563,0.005704551935195923,0.5871555805206299
21,0.5793548822402954,0.0046518538147211075,0.5840067267417908
22,0.5776084065437317,0.0038282417226582766,0.5814366340637207
23,0.5761272311210632,0.003332353662699461,0.5794596076011658
24,0.5748775601387024,0.003179671010002494,0.5780572295188904
25,0.5738498568534851,0.003289218991994858,0.5771390795707703
26,0.5730355381965637,0.0035046986304223537,0.5765402317047119
27,0.5724130868911743,0.003654418746009469,0.5760675072669983
28,0.5719461441040039,0.0036224990617483854,0.5755686163902283
29,0.5715892910957336,0.0033865589648485184,0.574975848197937
30,0.5712956190109253,0.003005292732268572,0.5743008852005005
31,0.5710247755050659,0.0025753541849553585,0.5736001133918762
32,0.5707486271858215,0.002185471123084426,0.572934091091156
33,0.5704538822174072,0.001886913669295609,0.5723407864570618
34,0.5701413154602051,0.0016881638439372182,0.5718294978141785
35,0.5698227286338806,0.0015692008892074227,0.5713919401168823
36,0.5695152878761292,0.0015016280813142657,0.5710169076919556
37,0.5692355036735535,0.0014629123033955693,0.5706984400749207
38,0.5689934492111206,0.0014408063143491745,0.5704342722892761
39,0.5687896013259888,0.0014298135647550225,0.5702193975448608
40,0.5686160326004028,0.00142475008033216,0.570040762424469
41,0.5684607625007629,0.0014169185888022184,0.5698776841163635
42,0.5683133602142334,0.001395497121848166,0.5697088837623596
43,0.5681686401367188,0.0013525187969207764,0.5695211887359619
44,0.5680264830589294,0.0012874417006969452,0.5693139433860779
45,0.5678892731666565,0.0012081405147910118,0.5690973997116089
46,0.5677585005760193,0.0011278231395408511,0.5688863396644592
47,0.5676325559616089,0.0010596730280667543,0.5686922073364258
48,0.5675068497657776,0.001011802931316197,0.5685186386108398
49,0.5673765540122986,0.0009847072651609778,0.5683612823486328
50,0.5672392845153809,0.000972198904491961,0.5682114958763123
51,0.5670971274375916,0.0009650705615058541,0.5680621862411499
52,0.5669562220573425,0.0009552279370836914,0.5679114460945129
53,0.5668238401412964,0.0009381657582707703,0.567762017250061
54,0.5667051076889038,0.0009131850092671812,0.5676183104515076
55,0.5666001439094543,0.0008821891970001161,0.5674823522567749
56,0.5665044784545898,0.00084824173245579,0.5673527121543884
57,0.5664105415344238,0.0008145968313328922,0.5672251582145691
58,0.5663114190101624,0.0007842224440537393,0.5670956373214722
59,0.5662029981613159,0.0007595382630825043,0.5669625401496887
60,0.5660849213600159,0.0007422281778417528,0.5668271780014038
61,0.5659593343734741,0.0007331211236305535,0.5666924715042114
62,0.5658285617828369,0.0007320137228816748,0.5665605664253235
63,0.565694272518158,0.0007374353590421379,0.5664317011833191
64,0.565557062625885,0.0007467114483006299,0.5663037896156311
65,0.565417468547821,0.0007567377761006355,0.5661742091178894
66,0.5652765035629272,0.0007653009961359203,0.5660418272018433
67,0.5651364922523499,0.0007720566936768591,0.5659085512161255
68,0.5649994015693665,0.0007782551110722125,0.5657776594161987
69,0.5648664236068726,0.0007852688431739807,0.5656517148017883
70,0.5647371411323547,0.0007931471336632967,0.5655303001403809
71,0.5646098852157593,0.0008005246054381132,0.5654104351997375
72,0.5644829869270325,0.0008059287793003023,0.5652889013290405
73,0.5643554329872131,0.0008090406772680581,0.5651644468307495
74,0.5642274022102356,0.0008105557644739747,0.5650379657745361
75,0.5640997290611267,0.0008109440677799284,0.5649106502532959
76,0.5639728307723999,0.0008097251993604004,0.5647825598716736
77,0.5638465285301208,0.0008062490960583091,0.5646528005599976
78,0.5637203454971313,0.0008010725723579526,0.5645214319229126
79,0.5635936260223389,0.000796147680375725,0.5643897652626038
80,0.5634660720825195,0.0007933584856800735,0.56425940990448
81,0.5633375644683838,0.0007929755956865847,0.5641305446624756
82,0.5632084012031555,0.000793744227848947,0.5640021562576294
83,0.563078761100769,0.0007943582022562623,0.5638731122016907
84,0.5629489421844482,0.0007945345132611692,0.5637434720993042
85,0.5628194808959961,0.0007947516860440373,0.5636142492294312
86,0.5626905560493469,0.0007954395259730518,0.5634859800338745
87,0.5625620484352112,0.0007966634002514184,0.563358724117279
88,0.5624335408210754,0.000798287452198565,0.5632318258285522
89,0.5623043179512024,0.0008001479436643422,0.5631044507026672
90,0.5621741414070129,0.000802225957158953,0.5629763603210449
91,0.5620430707931519,0.0008048717863857746,0.5628479719161987
92,0.5619117617607117,0.0008086613961495459,0.5627204179763794
93,0.5617806911468506,0.0008137591648846865,0.562594473361969
94,0.5616501569747925,0.000819623121060431,0.5624697804450989
95,0.5615198612213135,0.000825677823740989,0.562345564365387
96,0.5613895654678345,0.0008321356144733727,0.5622217059135437
97,0.5612590909004211,0.0008397980127483606,0.5620988607406616
98,0.5611281991004944,0.0008491382468491793,0.5619773268699646
99,0.560996949672699,0.0008599011925980449,0.5618568658828735
100,0.5608656406402588,0.0008715260773897171,0.5617371797561646
101,0.5607349872589111,0.0008836047491058707,0.5616185665130615
102,0.560605525970459,0.0008958878461271524,0.5615014433860779
103,0.5604778528213501,0.0009081371244974434,0.561385989189148
104,0.5603519678115845,0.000920202408451587,0.561272144317627
105,0.560227632522583,0.0009322544792667031,0.5611599087715149
106,0.5601046681404114,0.0009447511984035373,0.5610494017601013
107,0.5599827766418457,0.0009580321493558586,0.5609408020973206
108,0.559861958026886,0.000972078472841531,0.5608340501785278
109,0.559742271900177,0.0009868150809779763,0.5607290863990784
110,0.5596235990524292,0.0010024114744737744,0.5606260299682617
111,0.5595058798789978,0.0010190416360273957,0.5605249404907227
112,0.5593892335891724,0.0010366004426032305,0.5604258179664612
113,0.5592737793922424,0.0010548775317147374,0.5603286623954773
114,0.559159517288208,0.0010737889679148793,0.5602332949638367
115,0.5590468049049377,0.001093290513381362,0.560140073299408
116,0.558935821056366,0.0011132352519780397,0.5600490570068359
117,0.5588266253471375,0.0011333855800330639,0.5599600076675415
118,0.5587193965911865,0.0011534724617376924,0.5598728656768799
119,0.5586143732070923,0.0011732167331501842,0.5597875714302063
120,0.5585118532180786,0.0011923295678570867,0.5597041845321655
121,0.5584119558334351,0.001210572081618011,0.5596225261688232
122,0.5583148002624512,0.0012278943322598934,0.559542715549469
123,0.5582200288772583,0.001244454295374453,0.5594644546508789
124,0.5581274032592773,0.0012604525545611978,0.5593878626823425
125,0.558036744594574,0.0012759801466017962,0.5593127012252808
126,0.557948112487793,0.001290967222303152,0.5592390894889832
127,0.5578613877296448,0.0013052452122792602,0.5591666102409363
128,0.5577768087387085,0.0013186709256842732,0.5590955018997192
129,0.5576943755149841,0.0013311412185430527,0.5590255260467529
130,0.5576141476631165,0.0013425337383523583,0.5589566826820374
131,0.5575360655784607,0.001352725550532341,0.5588887929916382
132,0.5574603080749512,0.0013615956995636225,0.5588219165802002
133,0.5573868751525879,0.0013690072810277343,0.5587558746337891
134,0.5573157668113708,0.0013748790370300412,0.5586906671524048
135,0.5572469830513,0.0013792224926874042,0.5586262345314026
136,0.5571804642677307,0.001382046495564282,0.5585625171661377
137,0.5571161508560181,0.00138332589995116,0.5584994554519653
138,0.5570539236068726,0.0013831211254000664,0.5584370493888855
139,0.5569936633110046,0.0013816473074257374,0.5583752989768982
140,0.5569350123405457,0.0013791724340990186,0.5583142042160034
141,0.5568777322769165,0.001375886844471097,0.5582536458969116
142,0.5568218231201172,0.001371860271319747,0.5581936836242676
143,0.5567671656608582,0.0013670456828549504,0.5581341981887817
144,0.5567140579223633,0.00136138079687953,0.5580754280090332
145,0.5566622018814087,0.0013549171853810549,0.5580171346664429
146,0.5566115379333496,0.001347792218439281,0.5579593181610107
147,0.556562066078186,0.001340100890956819,0.5579021573066711
148,0.5565136075019836,0.001331879640929401,0.5578454732894897
149,0.5564661026000977,0.001323178643360734,0.5577892661094666
150,0.5564195513725281,0.0013140994124114513,0.5577336549758911
151,0.5563737750053406,0.0013047624379396439,0.5576785206794739
152,0.5563286542892456,0.0012952507240697742,0.5576239228248596
153,0.5562841296195984,0.0012855972163379192,0.5575697422027588
154,0.5562402009963989,0.0012758334632962942,0.5575160384178162
155,0.5561968088150024,0.0012660333886742592,0.5574628710746765
156,0.5561537742614746,0.001256270450539887,0.5574100613594055
157,0.556111216545105,0.0012465451145544648,0.5573577880859375
158,0.556069016456604,0.0012367868330329657,0.5573058128356934
159,0.5560274124145508,0.0012269476428627968,0.5572543740272522
160,0.5559862852096558,0.0012170806294307113,0.5572033524513245
161,0.5559454560279846,0.0012072967365384102,0.5571527481079102
